molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL5997191,active,6.259637310505756,CCn1c(-c2cccnc2COC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CCN3CCN(C)CC3)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,1000.254999999999,4.472900000000009,3.0,12.0
CHEMBL6025485,inactive,5.300595918184663,CCn1c(-c2cccnc2COC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CCN3CCOCC3)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,987.2119999999991,4.557700000000006,3.0,12.0
CHEMBL6054450,active,7.259637310505756,CCn1c(-c2cccnc2COC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CCN3[C@@H](C)COC[C@@H]3C)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,1015.2659999999992,5.334700000000007,3.0,12.0
CHEMBL5762967,active,7.259637310505756,CCn1c(-c2cccnc2COC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CCN3[C@H](C)COC[C@@H]3C)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,1015.2659999999992,5.334700000000007,3.0,12.0
CHEMBL5769548,active,7.259637310505756,CCn1c(-c2cccnc2COC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CCOC)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,932.1319999999994,4.8719000000000054,3.0,11.0
CHEMBL5970735,active,7.259637310505756,CCn1c(-c2cccnc2COC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#C[C@@H]3CCCN3C)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,971.2129999999992,5.319700000000006,3.0,11.0
CHEMBL5797544,active,8.0,CCn1c(-c2cccnc2COC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1C[C@@H](C)N(C(=O)C#CCN(C)C)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,959.2019999999993,5.175600000000006,3.0,11.0
CHEMBL5750648,active,7.259637310505756,CCn1c(-c2cccnc2COC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)c1ccc(NC(=O)/C=C/CN(C)C)cn1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,970.1849999999995,6.138700000000005,4.0,12.0
CHEMBL5912460,active,7.259637310505756,CCn1c(-c2cccnc2COC)c2c3cc(ccc31)-c1cccc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CCN(C)C)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,929.1759999999992,5.081500000000006,2.0,10.0
CHEMBL5839700,inactive,5.0,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(CF)cc(c1)C[C@H](NC(=O)[C@@H](COC1CN(C(=O)C#CC(C)(C)N(C)C)C1)C(C)C)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,962.2209999999992,7.058700000000009,2.0,10.0
CHEMBL5978291,active,8.0,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(CF)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CC(C)(C)N(C)C)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,1003.2739999999991,6.890600000000008,2.0,10.0
CHEMBL5768549,active,8.0,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(CF)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N1CC[C@]3(CCN(C(=O)C#CC(C)(C)N(C)C)C3)C1=O)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,1015.284999999999,7.034700000000009,2.0,10.0
CHEMBL5999586,active,6.259637310505756,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)C1CCN(C(=O)/C=C/CN(C)C)CC1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,975.2449999999992,6.291000000000007,3.0,11.0
CHEMBL6016895,active,6.259637310505756,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)C1CN(C(=O)/C=C/CN(C)C)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,947.1909999999993,5.510800000000006,3.0,11.0
CHEMBL5746696,active,7.259637310505756,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)N1CCCN(C(=O)/C=C/CN(C)C)CC1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,990.2599999999991,6.1801000000000075,3.0,11.0
CHEMBL5824382,active,7.259637310505756,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)N1CCN(C(=O)/C=C/CN(C)C)CC1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,976.2329999999992,5.790000000000007,3.0,11.0
CHEMBL5794697,active,7.259637310505756,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)/C=C/C(F)(F)F)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,972.1189999999996,6.901600000000007,3.0,10.0
CHEMBL5816269,active,7.259637310505756,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)/C=C/CN(C)C)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,961.2179999999993,5.900900000000006,3.0,11.0
